[OTHER]	
[dark l]	ɫ
[S + x]	ɧ
[strident dental affr.]	t̪͡s̪
 	d̪͡z̪
[lab.-pal. appr.]	ɥ
[lab.-vel. appr.]	ʍ
 	w
[lab.-vel. stop]	k͡p
 	ɡ͡b
[lab.-alv. stop]	p͡t
 	b͡d
